Operand,Value,Delta
Inversion,236432.0,-2140.0
Scramble,281729.0,-47437.0
Inversion,236432.0,-2140.0
Scramble,301295.0,-67003.0
Swap,236432.0,-2140.0
Inversion,236432.0,-2140.0
Swap,245375.0,-11083.0
Scramble,252053.0,-17761.0
Scramble,268627.0,-34335.0
Swap,279925.0,-45633.0
Inversion,279925.0,-45633.0
Swap,246593.0,-12301.0
Swap,260957.0,-26665.0
Swap,283963.0,-49671.0
Scramble,253211.0,-18919.0
Swap,283963.0,-49671.0
Inversion,253211.0,-18919.0
Scramble,260280.0,-25988.0
Swap,272661.0,-38369.0
Swap,276333.0,-42041.0
Inversion,236432.0,-2140.0
Scramble,253145.0,-18853.0
Swap,244880.0,-10588.0
Swap,293444.0,-59152.0
Swap,249115.0,-14823.0
Scramble,288098.0,-53806.0
Swap,296701.0,-62409.0
Inversion,296701.0,-62409.0
Scramble,275638.0,-41346.0
Scramble,273686.0,-39394.0
Inversion,236432.0,-2140.0
Inversion,236432.0,-2140.0
Swap,272661.0,-38369.0
Scramble,266185.0,-31893.0
Scramble,244987.0,-10695.0
Swap,244166.0,-9874.0
Inversion,236432.0,-2140.0
Inversion,236432.0,-2140.0
Swap,297004.0,-62712.0
Scramble,249115.0,-14823.0
Swap,272661.0,-38369.0
Scramble,288519.0,-54227.0
Inversion,236432.0,-2140.0
Swap,277057.0,-42765.0
Inversion,236432.0,-2140.0
Scramble,292340.0,-58048.0
Scramble,260957.0,-26665.0
Swap,291706.0,-57414.0
Inversion,291706.0,-57414.0
Scramble,240257.0,-5965.0
Swap,244880.0,-10588.0
Swap,250622.0,-16330.0
Swap,244166.0,-9874.0
Inversion,236432.0,-2140.0
Swap,299955.0,-65663.0
Swap,260957.0,-26665.0
Scramble,268232.0,-33940.0
